                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250408"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      493                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.3000000000000000E+001                  3.4412449262667508E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999366089319353E-001                  3.8009040869135882E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999366089319353E-001                  2.0169412869140601E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6202796025941051E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6202796025941051E+001                 -1.6202796025941051E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6317708754090052E+000                  3.8155070177323278E+000                  2.1668649189126512E+000                  1.2182811417846673E+000                  0.0000000000000000E+000                  9.5913753074276311E+000                 -4.3744021209119754E+000                  5.7864535598989235E+000                  6.0444954215971702E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999999E-001                  2.4997339496852575E-001                  2.4464774663588294E-003                  6.6579710144819620E-003                  2.4464774663588281E-003                  6.6579710144819637E-003                  9.5679999999999961E+000                  3.2496541345908345E+000                                        0                                        2 
                                       2                                      502                  2.0500000000000004E-005                 -4.9788107009300617E+000                  1.3000000000000000E+001                  3.4412449262667508E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999405898345606E-001                  3.3653601495699327E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999485516398079E-001                  1.6510100685572137E-002                  9.9999940855205482E-001                  9.9999783136020137E-001                 -1.6202795998795448E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6202795998795448E+001                 -1.6202795998795448E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6318449859028643E+000                  3.8158043325934643E+000                  2.1668653553555006E+000                  1.2182802688989682E+000                  0.0000000000000000E+000                  9.5913753145710601E+000                 -4.3744021153298069E+000                  5.7864535615234436E+000                  6.0444954215813840E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999999E-001                  2.4997339496852575E-001                  2.4464774663588294E-003                  6.6579710144819620E-003                  2.4464774663588281E-003                  6.6579710144819637E-003                  9.5679999999999961E+000                  3.2496541345908345E+000                                        0                                        3 
                                       3                                      499                  3.1525000000000001E-005                 -4.9576214018601235E+000                  1.3000000000000000E+001                  3.4412449262667508E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999405898345606E-001                  3.3653778928002455E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999485516398079E-001                  1.6510125236053708E-002                  9.9999940855205482E-001                  9.9999802850918307E-001                 -1.6202795973608048E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6202795973608048E+001                 -1.6202795973608048E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6319831206900757E+000                  3.8163575821267002E+000                  2.1668657105476963E+000                  1.2182795585145774E+000                  0.0000000000000000E+000                  9.5913753214335280E+000                 -4.3744021098757235E+000                  5.7864535630187275E+000                  6.0444954215671598E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999999E-001                  2.4997339496852575E-001                  2.4464774663588294E-003                  6.6579710144819620E-003                  2.4464774663588281E-003                  6.6579710144819637E-003                  9.5679999999999961E+000                  3.2496541345908345E+000                                        0                                        2 
                                       4                                      484                  4.3101250000000003E-005                 -4.9364321027901852E+000                  1.3000000000000000E+001                  3.4412449262667508E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999366089319375E-001                  3.3653965370034372E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999385707574995E-001                  1.6511058466205188E-002                  9.9999997227492454E-001                  9.9999802850918318E-001                 -1.6202795944838876E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6202795944838876E+001                 -1.6202795944838876E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6320874521841602E+000                  3.8167754073631599E+000                  2.1668659601777565E+000                  1.2182790592544570E+000                  0.0000000000000000E+000                  9.5913753290860306E+000                 -4.3744021038637628E+000                  5.7864535647361706E+000                  6.0444954215505786E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999999E-001                  2.4997339496852575E-001                  2.4464774663588294E-003                  6.6579710144819620E-003                  2.4464774663588281E-003                  6.6579710144819629E-003                  9.5679999999999961E+000                  3.2496541345908345E+000                                        0                                        2 
                                       5                                      499                  5.5256312500000006E-005                 -4.9152428037202469E+000                  1.3000000000000000E+001                  3.4412449262667508E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999366089319353E-001                  3.3654161287303787E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999385520198514E-001                  1.6511089341297407E-002                  9.9999999992153732E-001                  9.9999999480073565E-001                 -1.6202795912337027E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6202795912337027E+001                 -1.6202795912337027E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6321561254730628E+000                  3.8170504164650421E+000                  2.1668661181508919E+000                  1.2182787433081861E+000                  0.0000000000000000E+000                  9.5913753375623472E+000                 -4.3744020972696855E+000                  5.7864535666849939E+000                  6.0444954215315394E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999999E-001                  2.4997339496852575E-001                  2.4464774663588294E-003                  6.6579710144819620E-003                  2.4464774663588286E-003                  6.6579710144819629E-003                  9.5679999999999961E+000                  3.2496541345908345E+000                                        0                                        2 
                                       6                                      499                  6.8019128125000017E-005                 -4.8940535046503095E+000                  1.3000000000000000E+001                  3.4412449262667508E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999366089319353E-001                  3.3654367169132199E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999385371732341E-001                  1.6511123075879496E-002                  9.9999991682677325E-001                  9.9999940855205471E-001                 -1.6202795876708489E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6202795876708489E+001                 -1.6202795876708489E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6322012572953311E+000                  3.8172311147838340E+000                  2.1668662036657511E+000                  1.2182785722784673E+000                  0.0000000000000000E+000                  9.5913753467514944E+000                 -4.3744020901614764E+000                  5.7864535688265679E+000                  6.0444954215104851E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999999E-001                  2.4997339496852575E-001                  2.4464774663588294E-003                  6.6579710144819620E-003                  2.4464774663588281E-003                  6.6579710144819611E-003                  9.5679999999999961E+000                  3.2496541345908345E+000                                        0                                        2 
                                       7                                      499                  8.1420084531250018E-005                 -4.8728642055803713E+000                  1.3000000000000000E+001                  3.4412449262667508E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999366089319353E-001                  3.3654583531278662E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999385268833263E-001                  1.6511159515928436E-002                  9.9999911282858223E-001                  9.9999763421121957E-001                 -1.6202795838161908E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6202795838161908E+001                 -1.6202795838161908E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6322281521387061E+000                  3.8173387660172819E+000                  2.1668662395957252E+000                  1.2182785004185186E+000                  0.0000000000000000E+000                  9.5913753566188031E+000                 -4.3744020825583103E+000                  5.7864535711473524E+000                  6.0444954214875679E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999999E-001                  2.4997339496852575E-001                  2.4464774663588294E-003                  6.6579710144819620E-003                  2.4464774663588286E-003                  6.6579710144819611E-003                  9.5679999999999961E+000                  3.2496541345908345E+000                                        0                                        2 
                                       8                                      499                  9.5491088757812512E-005                 -4.8516749065104330E+000                  1.3000000000000000E+001                  3.4412449262667508E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999366089319353E-001                  3.3654810917156976E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999385197175783E-001                  1.6511198685435234E-002                  9.9999940855205471E-001                  9.9999763421121957E-001                 -1.6202795796977778E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6202795796977778E+001                 -1.6202795796977778E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6322435514310332E+000                  3.8174003697658527E+000                  2.1668662428853565E+000                  1.2182784938392566E+000                  0.0000000000000000E+000                  9.5913753671161501E+000                 -4.3744020744877705E+000                  5.7864535736292488E+000                  6.0444954214630031E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999999E-001                  2.4997339496852575E-001                  2.4464774663588294E-003                  6.6579710144819620E-003                  2.4464774663588286E-003                  6.6579710144819611E-003                  9.5679999999999961E+000                  3.2496541345908345E+000                                        0                                        2 
                                       9                                      499                  1.1026564319570315E-004                 -4.8304856074404947E+000                  1.3000000000000000E+001                  3.4412449262667508E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999366089319353E-001                  3.3655049899825137E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999385144435360E-001                  1.6511240572303403E-002                  9.9999911282858223E-001                  9.9999763421121957E-001                 -1.6202795753281812E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6202795753281816E+001                 -1.6202795753281812E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6322515195379688E+000                  3.8174322053902978E+000                  2.1668662244837082E+000                  1.2182785306425534E+000                  0.0000000000000000E+000                  9.5913753782254787E+000                 -4.3744020659581206E+000                  5.7864535762639742E+000                  6.0444954214368896E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999999E-001                  2.4997339496852575E-001                  2.4464774663588294E-003                  6.6579710144819620E-003                  2.4464774663588286E-003                  6.6579710144819611E-003                  9.5679999999999961E+000                  3.2496541345908345E+000                                        0                                        2 
