                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250409"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                    1397                                     2092                  1.2660418739370892E+007                  1.7978594531208698E+000                  1.2700284108535534E+001                  3.4402319346701596E+001                 -5.0655501192288961E+000                  1.9627127959044357E+000                  9.9864160798656187E-001                  5.7029870457307219E-001                  1.5375229112656436E-001                  5.3828728079458431E-008                  9.9866183002968179E-001                  5.7020542372428151E-001                  1.7094325292091225E-001                  5.3828728079458431E-008                  4.4751791140036445E+000                  1.5278343772812260E+000                  3.5154122995549524E+000                  4.5208289066924001E+000                 -7.0345807027561458E-001                  4.4751762356207427E+000                  1.5278343772812260E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9184266080784955E+033                  5.1178317342730499E+033                  5.3229255970261511E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.4278590070478252E+033                  6.8933236446352817E+000                  4.9210511194332129E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5829824780758224E+000                  5.1446392807033083E+000                  2.9290078450645054E+000                 -3.1613462648494983E-001                  0.0000000000000000E+000                  1.9984921389969628E+001                  3.6044027476668936E+000                  8.5273905906647247E+000                  1.7577389038241158E+000                  4.9996220566078747E-001                  1.4503157538507638E+001                  0.0000000000000000E+000                  4.4966647300547050E-006                  3.2360795878604182E-001                  6.5774539056356329E-001                  1.6351484606162683E-003                  5.5989759122571699E-003                  3.9342161022172335E+000                  3.7320853876369271E+000                                        0                                        5 
                                    1398                                     2097                  1.2660484664160460E+007                  1.8190487521908081E+000                  1.2699712844338210E+001                  3.4402299811511170E+001                 -5.0622117456909246E+000                  1.6189649582958991E+000                  9.9864497892034787E-001                  5.7010902985158740E-001                  1.2648743461501921E-001                  5.3831152072199993E-008                  9.9864985127784900E-001                  5.7001421685539622E-001                  1.4368770912627540E-001                  5.3831152072199993E-008                  4.4828128082900447E+000                  1.5965688080779039E+000                  3.2651102599862249E+000                  4.5088862050165899E+000                 -7.0636926211848461E-001                  4.4828099989542967E+000                  1.5965688080779039E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4027379830611150E+033                  5.1922932522978742E+033                  5.2975555310140472E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.4882537346149252E+033                  6.8933236446352470E+000                  4.9210511194332138E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5827768195076337E+000                  5.1465418921697745E+000                  2.9303704679341180E+000                 -3.1887940741460086E-001                  0.0000000000000000E+000                  1.9994180526086947E+001                  3.6115577862201333E+000                  8.5296300705865242E+000                  1.7577407418817330E+000                  4.9996220566078747E-001                  1.4503282673511951E+001                  0.0000000000000000E+000                  2.1170320290441574E-006                  3.2360322693755456E-001                  6.5774872509978310E-001                  1.6351484589922410E-003                  5.5989759122569305E-003                  3.9337988233104073E+000                  3.7319345703171165E+000                                        0                                        5 
                                    1399                                     2102                  1.2660553885189505E+007                  1.8402380512607461E+000                  1.2699107870340079E+001                  3.4402279122608164E+001                 -5.0585013422464611E+000                  1.1987158053932141E+000                  9.9859288335721841E-001                  5.6990720512282389E-001                  9.3943860650412631E-002                  5.3833711031839341E-008                  9.9871724160173247E-001                  5.6979816117198634E-001                  1.0722437362161928E-001                  5.3833711031839341E-008                  4.4904870056461803E+000                  1.6687575035754922E+000                  2.9700945834710319E+000                  4.5040319276137897E+000                 -7.0965909471351885E-001                  4.4904842663462876E+000                  1.6687575035754922E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8205888508716315E+032                  5.5607318021837260E+033                  5.8202494433523147E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.8239556303251749E+033                  6.8960452437004394E+000                  4.9210511194331481E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5824946696182769E+000                  5.1486200613553494E+000                  2.9319738523056174E+000                 -3.2210686506060709E-001                  0.0000000000000000E+000                  2.0003974049552184E+001                  3.6191370660559032E+000                  8.5319948673122639E+000                  1.7577417850456769E+000                  4.9996220566078764E-001                  1.4503353692981063E+001                  0.0000000000000000E+000                  7.6650692018774347E-007                  3.2360064321203252E-001                  6.5775035356646816E-001                  1.6351484563655006E-003                  5.5989759122565394E-003                  3.9333567252208539E+000                  3.7317775108194744E+000                                        0                                        5 
                                    1400                                     2108                  1.2660617634181181E+007                  1.8044733198950595E+000                  1.2698545372133456E+001                  3.4402259885408185E+001                 -5.0543521777426168E+000                  6.8247118418145292E-001                  9.9853330816906993E-001                  5.6969053717298734E-001                  5.2452204560203421E-002                  5.3836093624149951E-008                  9.9871969923643333E-001                  5.6956884904613914E-001                  5.3266201130895652E-001                  4.6151772439979333E-001                  4.4972261047122357E+000                  1.7349938266706508E+000                  2.7282184218061998E+000                  4.5052938012323107E+000                 -7.1287055792783693E-001                  4.4972234274618650E+000                  1.7349938266706508E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5675636805850446E+032                  5.6201162818721609E+033                  5.7546004694449180E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.8774252528484941E+033                  6.8960452437004038E+000                  4.9210511194331303E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5822371016598518E+000                  5.1506403404446948E+000                  2.9334991277671407E+000                 -3.2517665318363670E-001                  0.0000000000000000E+000                  2.0013017953192776E+001                  3.6261484886908946E+000                  8.5341744248692439E+000                  1.7577422275430346E+000                  4.9996220566078747E-001                  1.4503383818753910E+001                  0.0000000000000000E+000                  1.9363120830766117E-007                  3.2359961999460263E-001                  6.5775085571902225E-001                  1.6351484535150943E-003                  5.5989759122561100E-003                  3.9329455473120936E+000                  3.7316326001628699E+000                                        0                                        5 
                                    1401                                     2098                  1.2660678713032845E+007                  1.7858908633343911E+000                  1.2698001440592222E+001                  3.4402241282369850E+001                 -5.0503466201352456E+000                  1.5875525768426443E-001                  9.9853764801496692E-001                  5.6949079988723483E-001                  1.1440991202612091E-002                  5.3838408309541864E-008                  9.9872207595780704E-001                  5.6939620766835886E-001                  5.3268482841684450E-001                  4.6153749397127869E-001                  4.5034007434310794E+000                  1.7981185929116144E+000                  2.6441636215848798E+000                  4.5102086327184931E+000                 -7.1607914998878697E-001                  4.5033981234043141E+000                  1.7981185929116144E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.6936824938302092E+033                  5.7141182845593006E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9350761720501554E+033                  6.8960452437004536E+000                  4.9210511194332005E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5819824527340263E+000                  5.1526389330260045E+000                  2.9350077219094475E+000                 -3.2821244450658132E-001                  0.0000000000000000E+000                  2.0021684339995208E+001                  3.6328783360698846E+000                  8.5362591812108146E+000                  1.7577423596960802E+000                  4.9996220566078753E-001                  1.4503392815919661E+001                  0.0000000000000000E+000                  2.2540366836432750E-008                  3.2359937211088396E-001                  6.5775085543879164E-001                  1.6351484484684105E-003                  5.5989759122553441E-003                  3.9325478436892536E+000                  3.7314927873195156E+000                                        0                                        5 
                                    1402                                     2068                  1.2660738512294715E+007                  1.7766958233174042E+000                  1.2697464023462540E+001                  3.4402222901348701E+001                 -5.0463843182592258E+000                  0.0000000000000000E+000                  9.9854193624974197E-001                  5.6930124081205291E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9859227611056178E-001                  5.6918132110879183E-001                  5.3270737417488068E-001                  4.6022362552530927E-001                  4.5092320837712370E+000                  1.8595963262684689E+000                  2.6560714080646077E+000                  4.5162384318864204E+000                 -7.1929805228347421E-001                  4.5092295177782908E+000                  1.8595963262684689E+000                  1.4798348509872260E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9913904726234210E+033                  6.1398884931912548E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.2167534582259879E+033                  6.8960452437005015E+000                  4.9210511194332245E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5818418359062023E+000                  5.1547486596858585E+000                  2.9363438188950211E+000                 -3.3090301949888168E-001                  0.0000000000000000E+000                  2.0030213136303860E+001                  3.6394982748331115E+000                  8.5383117496476011E+000                  1.7577423761202531E+000                  4.9996220566078753E-001                  1.4503393934101204E+001                  0.0000000000000000E+000                  1.2769502535266915E-009                  3.2359934840616700E-001                  6.5775083676365742E-001                  1.6351484423190530E-003                  5.5989759122543926E-003                  3.9321548196322746E+000                  3.7313546840081142E+000                                        0                                        5 
                                    1403                                     2077                  1.2660797623712704E+007                  1.7716713775041544E+000                  1.2696927912312828E+001                  3.4402204564220199E+001                 -5.0424165379945105E+000                  0.0000000000000000E+000                  9.9854621442534719E-001                  5.6911884996593509E-001                  1.8248663232440478E-002                  4.0391981630501003E-003                  9.9857783747644568E-001                  5.6902287378321104E-001                  5.3272986704596670E-001                  4.6024305786505282E-001                  4.5147808917395276E+000                  1.9199697734511989E+000                  2.6925519217445895E+000                  4.5223580786585895E+000                 -7.2255570737024566E-001                  4.5147783772549896E+000                  1.9199697734511989E+000                  1.4408496858418393E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0602595106558050E+033                  6.1213797808703700E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.2717870583152476E+033                  6.8960452437003941E+000                  4.9210511194331277E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5816318513206151E+000                  5.1567265160347517E+000                  2.9377527162406429E+000                 -3.3373915131862381E-001                  0.0000000000000000E+000                  2.0038641544183555E+001                  3.6461358238861368E+000                  8.5403081841400503E+000                  1.7577423770562222E+000                  4.9996220566078753E-001                  1.4503393997823345E+001                  0.0000000000000000E+000                  6.5206381493773652E-011                  3.2359934711181354E-001                  6.5775083555042912E-001                  1.6351484334105701E-003                  5.5989759122529832E-003                  3.9317626798830321E+000                  3.7312168720662617E+000                                        0                                        5 
                                    1404                                     2092                  1.2660859690701591E+007                  1.7928606765740924E+000                  1.2696359982194585E+001                  3.4402185137912149E+001                 -5.0385657759478732E+000                  9.3553130796181305E-001                  9.9855066152998329E-001                  5.6894247183016622E-001                  7.3320572271221338E-002                  5.3845366777775445E-008                  9.9856148850299309E-001                  5.6882666918723979E-001                  8.1783027551638660E-002                  5.3845366777775445E-008                  4.5204028563221268E+000                  1.9829039480848976E+000                  2.7455494776134959E+000                  4.5288728894498922E+000                 -7.2602858791310509E-001                  4.5204003939476651E+000                  1.9829039480848976E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.5840052649594901E+032                  2.1609564145193426E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.3222009972473793E+033                  6.8960452437004038E+000                  4.9210511194331596E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5814203263265578E+000                  5.1588665900140436E+000                  2.9392458032184035E+000                 -3.3674475158219397E-001                  0.0000000000000000E+000                  2.0047420942024019E+001                  3.6530985119461050E+000                  8.5423713085169446E+000                  1.7577423672638937E+000                  4.9996220566078747E-001                  1.4503393331147354E+001                  0.0000000000000000E+000                  1.2742760856998376E-008                  3.2359912367929861E-001                  6.5775146253415506E-001                  1.6351484142936373E-003                  5.5989759122497696E-003                  3.9313471817529182E+000                  3.7310707766162672E+000                                        0                                        5 
                                    1405                                     2096                  1.2660924861039922E+007                  1.8140499756440305E+000                  1.2695757943359888E+001                  3.4402164543951095E+001                 -5.0344254691884665E+000                  8.5378777839488129E-001                  9.9847560651347933E-001                  5.6876093037412145E-001                  6.6002958172565379E-002                  5.3847913639126549E-008                  9.9866747163674174E-001                  5.6864843231104945E-001                  1.1812730999354754E-001                  5.3847913639126549E-008                  4.5261646761358003E+000                  2.0486643664983526E+000                  2.8336551424753877E+000                  4.5363077515361123E+000                 -7.2969419166401550E-001                  4.5261622666373675E+000                  2.0486643664983526E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4067835892867633E+033                  3.0588683194583850E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.4045121845117920E+033                  6.8960452437003923E+000                  4.9210511194331064E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5811405417450306E+000                  5.1610855600967787E+000                  2.9409148574228245E+000                 -3.4010345395209252E-001                  0.0000000000000000E+000                  2.0056582515555032E+001                  3.6602070197239009E+000                  8.5445766253851101E+000                  1.7577423350127142E+000                  4.9996220566078753E-001                  1.4503391135440516E+001                  0.0000000000000000E+000                  5.4496479792750845E-008                  3.2359904250070137E-001                  6.5775182589381886E-001                  1.6351483662484742E-003                  5.5989759122412105E-003                  3.9309066475076033E+000                  3.7309156205917380E+000                                        0                                        5 
