                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    1000                                     1370                  1.0000000000000000E+000                  1.4000000000000000E-002                  1.1884829713097243E+007                  4.8271772738345696E+001                  5.5221759390187763E+003                  6.5998230407545081E+004                  2.8067183093023448E+002                 -3.8794606559227254E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8619038911858958E-001                  3.8203152494090500E-004                  8.7758949292393775E-003                  1.1380482909654215E-004                  1.8404580887727852E-003                  1.6782760922554356E+001                 -1.2322642581687643E-006                  6.9876387661660386E+000                  1.9628080410790205E-004                  9.5630626942011023E+000                  1.7212494888188410E-002                  8.9567925915567698E-002                  5.4864138524263258E-002                  2.4938888354253473E-002                  5.9198724672889727E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1487448939629709E+007                  3.5807714753550727E+002                  2.5429107445637980E+006                  8.9967661185205041E+004                  8.6813661483529475E+004                  8.3233477657265075E+002                  5.9089396400882806E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.7505670215403756E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250409"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    logdq                                    log_g                                   radius                    pressure_scale_height                                       dq                                    logxq                                    logxm                                     logE                                     logS                          pgas_div_ptotal                                      eta                                       mu                                   gamma1                                   gamma3                                   csound              log_thermal_time_to_surface                                       pp                                      cno                                tri_alpha                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                              log_opacity                                     logL                           log_L_div_Ledd                        mlt_mixing_length                          mlt_mixing_type                                 conv_vel                             conv_L_div_L                      conv_vel_div_csound                       conv_vel_div_L_vel                            log_mlt_D_mix                          log_Lconv_div_L                              mixing_type                                log_D_mix                                      tau                                   logtau                                    omega                                    i_rot                                    j_rot                                    v_rot                       w_div_w_crit_roche                                   fp_rot                                   ft_rot                        ft_rot_div_fp_rot                              r_e_div_r_p                                  brunt_N                                 lamb_Sl2 
                                       1                  1.6782760922554356E+001                  2.4481988277201423E+000                  3.7421102409805140E+000                 -9.0357885606626667E+000                  2.5291860411572094E+000                  7.3599998062718852E-001                  2.5000001937273664E-001                  1.4000000000074841E-002                 -1.2301029995664006E+001                  7.6653337977371228E-001                  2.8067183093023448E+002                  9.0368946350517232E-001                  4.9999999999997030E-013                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.2330837294483171E+001                  9.2899936859074366E+000                  9.9306598633676335E-001                 -2.2265083674587032E+001                  1.2588267160943494E+000                  1.5334582677283000E+000                  1.5228843308730213E+000                  7.5045262594066921E+005                 -4.1300471439993300E+000                  1.4928778011315873E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3599998062718852E-001                  2.6624404014638857E-005                  2.4997339496872201E-001                  2.4464774659090421E-003                  7.1710600333103154E-004                  6.6579710144818857E-003                 -1.9372355892305309E+000                  4.8195322910791196E+000                 -2.4585369523410767E+000                  1.2573935195210966E+011                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                                        0                 -9.8999999999999986E+001                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  4.5683918023070815E-006                  1.4982980260619169E-002 
                                       2                  1.6782760922545965E+001                  2.4481988276360331E+000                  3.7421102477852486E+000                 -9.0357885131004831E+000                  2.5291860954063390E+000                  7.3599998062718852E-001                  2.5000001937273664E-001                  1.4000000000074841E-002                 -1.1802251438537818E+001                  7.6653337994171389E-001                  2.8067183087587705E+002                  9.0368947706993319E-001                  1.5766981623927564E-012                 -1.2301029995664006E+001                 -1.1076166587753141E+001                  1.2330837296510392E+001                  9.2899936846884579E+000                  9.9306598676833180E-001                 -2.2265083418520486E+001                  1.2588267158886306E+000                  1.5334582535762806E+000                  1.5228843163764341E+000                  7.5045262825522828E+005                 -3.5116437583795790E+000                  1.4928779646304138E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3599998062718852E-001                  2.6624404014638857E-005                  2.4997339496872201E-001                  2.4464774659090421E-003                  7.1710600333103154E-004                  6.6579710144818848E-003                 -1.9372354829674245E+000                  4.8195322910791667E+000                 -2.4585369523410296E+000                  1.2573935236960349E+011                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                                        0                 -9.8999999999999986E+001                  6.6666670690613250E-001                 -1.7609123284201508E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  4.5683916815918998E-006                  1.4982980274646932E-002 
                                       3                  1.6782760922519504E+001                  2.4481988273708062E+000                  3.7421102623799776E+000                 -9.0357884110896176E+000                  2.5291862117593058E+000                  7.3599998062718852E-001                  2.5000001937273664E-001                  1.4000000000074841E-002                 -1.1541002323552108E+001                  7.6653338047148312E-001                  2.8067183070446856E+002                  9.0368950581093621E-001                  2.8773830201876136E-012                 -1.1682626621391323E+001                 -1.0457763213480460E+001                  1.2330837300858358E+001                  9.2899936820740088E+000                  9.9306598769395438E-001                 -2.2265082869311478E+001                  1.2588267154474067E+000                  1.5334582232231584E+000                  1.5228842852842839E+000                  7.5045263321947446E+005                 -3.1340539971841355E+000                  1.4928783153010141E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3599998062718852E-001                  2.6624404014638860E-005                  2.4997339496872198E-001                  2.4464774659090421E-003                  7.1710600333103154E-004                  6.6579710144818857E-003                 -1.9372352550553547E+000                  4.8195322910791969E+000                 -2.4585367909833575E+000                  1.2573935515603687E+011                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                                        0                 -9.8999999999999986E+001                  6.6666683379714742E-001                 -1.7609115017992658E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  4.5683909146961070E-006                  1.4982980353966672E-002 
                                       4                  1.6782760922471212E+001                  2.4481988268867814E+000                  3.7421102812366835E+000                 -9.0357882792895037E+000                  2.5291863620897290E+000                  7.3599998062718852E-001                  2.5000001937273664E-001                  1.4000000000074841E-002                 -1.1541002323552108E+001                  7.6653338143828254E-001                  2.8067183039165769E+002                  9.0368954235747512E-001                  2.8773830201876136E-012                 -1.1305036880903636E+001                 -1.0080173472992771E+001                  1.2330837306476027E+001                  9.2899936786960868E+000                  9.9306598888987663E-001                 -2.2265082159721715E+001                  1.2588267148773360E+000                  1.5334581840062431E+000                  1.5228842451125275E+000                  7.5045263963338616E+005                 -2.9351741284401953E+000                  1.4928787683746847E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3599998062718852E-001                  2.6624404014638860E-005                  2.4997339496872198E-001                  2.4464774659090421E-003                  7.1710600333103154E-004                  6.6579710144818857E-003                 -1.9372349605880841E+000                  4.8195322910792147E+000                 -2.4585364965148804E+000                  1.2573936024112018E+011                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                                        0                 -9.8999999999999986E+001                  6.6666706536603781E-001                 -1.7609099932635366E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  4.5683895151545991E-006                  1.4982980498720702E-002 
                                       5                  1.6782760922422923E+001                  2.4481988264027570E+000                  3.7421103030739755E+000                 -9.0357881266565414E+000                  2.5291865361819927E+000                  7.3599998062718852E-001                  2.5000001937273658E-001                  1.4000000000074841E-002                 -1.1421703854296499E+001                  7.6653338240508195E-001                  2.8067183007884677E+002                  9.0368958499872787E-001                  3.7870073297953317E-012                 -1.1106157032867468E+001                 -9.8812936249566050E+000                  1.2330837312981652E+001                  9.2899936747842382E+000                  9.9306599027482978E-001                 -2.2265081337970802E+001                  1.2588267142171561E+000                  1.5334581385904777E+000                  1.5228841985909907E+000                  7.5045264706110489E+005                 -2.7638680700951879E+000                  1.4928792930631451E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3599998062718852E-001                  2.6624404014638850E-005                  2.4997339496872195E-001                  2.4464774659090417E-003                  7.1710600333103143E-004                  6.6579710144818839E-003                 -1.9372346195758960E+000                  4.8195322910792378E+000                 -2.4585362020462997E+000                  1.2573936532620686E+011                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                                        0                 -9.8999999999999986E+001                  6.6666729693508575E-001                 -1.7609084847273054E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  4.5683881156115166E-006                  1.4982980643474711E-002 
                                       6                  1.6782760922359369E+001                  2.4481988257657190E+000                  3.7421103278918633E+000                 -9.0357879531907734E+000                  2.5291867340360672E+000                  7.3599998062718852E-001                  2.5000001937273658E-001                  1.4000000000074841E-002                 -1.1421703854296499E+001                  7.6653338367751300E-001                  2.8067182966714785E+002                  9.0368963309875394E-001                  3.7870073297953317E-012                 -1.0934851001776584E+001                 -9.7099875938657210E+000                  1.2330837320375238E+001                  9.2899936703384682E+000                  9.9306599184881283E-001                 -2.2265080404058523E+001                  1.2588267134668671E+000                  1.5334580869758239E+000                  1.5228841457196334E+000                  7.5045265550263075E+005                 -2.6413418386355940E+000                  1.4928798893663326E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3599998062718852E-001                  2.6624404014638850E-005                  2.4997339496872195E-001                  2.4464774659090417E-003                  7.1710600333103143E-004                  6.6579710144818839E-003                 -1.9372342320186831E+000                  4.8195322910792697E+000                 -2.4585358144875076E+000                  1.2573937201884184E+011                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                                        0                 -9.8999999999999986E+001                  6.6666760171007278E-001                 -1.7609064992982099E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  4.5683862736298603E-006                  1.4982980833989535E-002 
                                       7                  1.6782760922295811E+001                  2.4481988251286815E+000                  3.7421103649362326E+000                 -9.0357876942677926E+000                  2.5291870293622076E+000                  7.3599998062718852E-001                  2.5000001937273658E-001                  1.4000000000074841E-002                 -1.1123878998507731E+001                  7.6653338494994394E-001                  2.8067182925544893E+002                  9.0368970619956013E-001                  7.5183233753289490E-012                 -1.0812324797571144E+001                 -9.5874613896602785E+000                  1.2330837331411267E+001                  9.2899936637025089E+000                  9.9306599419820907E-001                 -2.2265079010056724E+001                  1.2588267123469483E+000                  1.5334580099332504E+000                  1.5228840668012371E+000                  7.5045266810284450E+005                 -2.4687303337883106E+000                  1.4928807794363230E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3599998062718852E-001                  2.6624404014638850E-005                  2.4997339496872195E-001                  2.4464774659090421E-003                  7.1710600333103154E-004                  6.6579710144818839E-003                 -1.9372336535323524E+000                  4.8195322910792875E+000                 -2.4585354269285773E+000                  1.2573937871148302E+011                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                                        0                 -9.8999999999999986E+001                  6.6666790648533270E-001                 -1.7609045138682444E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  4.5683844316454934E-006                  1.4982981024504285E-002 
                                       8                  1.6782760922169633E+001                  2.4481988238639745E+000                  3.7421104306307682E+000                 -9.0357872350946220E+000                  2.5291875530928039E+000                  7.3599998062718852E-001                  2.5000001937273664E-001                  1.4000000000074841E-002                 -1.0902030248891377E+001                  7.6653338747609268E-001                  2.8067182843810576E+002                  9.0368983527564473E-001                  1.2530538958881516E-011                 -1.0639713346831435E+001                 -9.4148499389205700E+000                  1.2330837350982586E+001                  9.2899936519343331E+000                  9.9306599836461085E-001                 -2.2265076537933599E+001                  1.2588267103608786E+000                  1.5334578733056259E+000                  1.5228839268470040E+000                  7.5045269044803700E+005                 -2.2793474769399733E+000                  1.4928823578848498E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3599998062718852E-001                  2.6624404014638857E-005                  2.4997339496872201E-001                  2.4464774659090421E-003                  7.1710600333103165E-004                  6.6579710144818857E-003                 -1.9372326276444256E+000                  4.8195322910793568E+000                 -2.4585346575097118E+000                  1.2573939199836333E+011                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                                        0                 -9.8999999999999986E+001                  6.6666851155467199E-001                 -1.7609005722032353E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  4.5683807747563175E-006                  1.4982981402731913E-002 
                                       9                  1.6782760921959337E+001                  2.4481988217561304E+000                  3.7421105264355132E+000                 -9.0357865654684346E+000                  2.5291883168654676E+000                  7.3599998062718852E-001                  2.5000001937273664E-001                  1.4000000000074841E-002                 -1.0777091512283079E+001                  7.6653339168633861E-001                  2.8067182707586790E+002                  9.0369002241701768E-001                  1.6707385278508577E-011                 -1.0450330580162605E+001                 -9.2254671722517401E+000                  1.2330837379524194E+001                  9.2899936347724736E+000                  9.9306600444057724E-001                 -2.2265072932749717E+001                  1.2588267074645119E+000                  1.5334576740560464E+000                  1.5228837227460590E+000                  7.5045272303473472E+005                 -2.1116648190784630E+000                  1.4928846597872972E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3599998062718852E-001                  2.6624404014638857E-005                  2.4997339496872201E-001                  2.4464774659090421E-003                  7.1710600333103154E-004                  6.6579710144818857E-003                 -1.9372311315557731E+000                  4.8195322910794580E+000                 -2.4585333751435172E+000                  1.2573941414321417E+011                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                                        0                 -9.8999999999999986E+001                  6.6666952000596091E-001                 -1.7608940027539330E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  4.5683746799174251E-006                  1.4982982033110737E-002 
