                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250409"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      457                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.7500000000000000E+001                  3.4541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998744612838375E-001                  5.0680550724576098E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998767625262919E-001                  3.0891563892935247E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7083771677706057E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7083771677706057E+001                 -1.7083771677706057E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6246243853039557E+000                  4.1084371604723851E+000                  2.3276229704927784E+000                  1.0258597350038703E+000                  0.0000000000000000E+000                  9.2245294508829137E+000                 -4.7083794486995822E+000                  5.7342091951647172E+000                  6.0448146681535875E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999988E-001                  2.4997339496852566E-001                  2.4464774663588294E-003                  6.6579710144819629E-003                  2.4464774663588294E-003                  6.6579710144819637E-003                  1.2879999999999995E+001                  4.3745344119491980E+000                                        0                                        2 
                                       2                                      463                  2.0500000000000004E-005                 -4.9788107009300617E+000                  1.7500000000000000E+001                  3.4541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998808103698733E-001                  4.7006843438775620E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998871594559091E-001                  2.6765019351762540E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7083771631317418E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7083771631317418E+001                 -1.7083771631317418E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6246796486867061E+000                  4.1086588519028018E+000                  2.3276232894424851E+000                  1.0258590971044574E+000                  0.0000000000000000E+000                  9.2245294625614669E+000                 -4.7083794395506722E+000                  5.7342091978395207E+000                  6.0448146681321679E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999988E-001                  2.4997339496852566E-001                  2.4464774663588294E-003                  6.6579710144819629E-003                  2.4464774663588294E-003                  6.6579710144819637E-003                  1.2879999999999995E+001                  4.3745344119491980E+000                                        0                                        3 
                                       3                                      463                  3.1525000000000001E-005                 -4.9576214018601235E+000                  1.7500000000000000E+001                  3.4541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998744612838375E-001                  4.7008114013141977E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998871594559091E-001                  2.6765755043069692E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7083771585599880E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7083771585599880E+001                 -1.7083771585599880E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6247671407710866E+000                  4.1090094045844676E+000                  2.3276235816145578E+000                  1.0258585127603110E+000                  0.0000000000000000E+000                  9.2245294742419919E+000                 -4.7083794303215090E+000                  5.7342092004655765E+000                  6.0448146681113391E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999988E-001                  2.4997339496852566E-001                  2.4464774663588294E-003                  6.6579710144819629E-003                  2.4464774663588294E-003                  6.6579710144819637E-003                  1.2879999999999995E+001                  4.3745344119491980E+000                                        0                                        2 
                                       4                                      463                  4.3101250000000003E-005                 -4.9364321027901852E+000                  1.7500000000000000E+001                  3.4541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998744612838375E-001                  4.7009446876941946E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998871594559091E-001                  2.6766528174595603E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7083771536890964E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7083771536890964E+001                 -1.7083771536890964E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6248532816190884E+000                  4.1093544550456631E+000                  2.3276238251491521E+000                  1.0258580256911227E+000                  0.0000000000000000E+000                  9.2245294866438403E+000                 -4.7083794205418990E+000                  5.7342092032659906E+000                  6.0448146680890757E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999988E-001                  2.4997339496852566E-001                  2.4464774663588294E-003                  6.6579710144819629E-003                  2.4464774663588294E-003                  6.6579710144819637E-003                  1.2879999999999995E+001                  4.3745344119491980E+000                                        0                                        2 
                                       5                                      463                  5.5256312500000006E-005                 -4.9152428037202469E+000                  1.7500000000000000E+001                  3.4541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998744612838375E-001                  4.7010845095833004E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998871594559091E-001                  2.6767340726917041E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7083771483567208E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7083771483567208E+001                 -1.7083771483567208E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6249236773706581E+000                  4.1096364008264255E+000                  2.3276240065363929E+000                  1.0258576629166409E+000                  0.0000000000000000E+000                  9.2245295000899024E+000                 -4.7083794099984138E+000                  5.7342092063394166E+000                  6.0448146680644910E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999988E-001                  2.4997339496852566E-001                  2.4464774663588294E-003                  6.6579710144819629E-003                  2.4464774663588294E-003                  6.6579710144819637E-003                  1.2879999999999995E+001                  4.3745344119491980E+000                                        0                                        2 
                                       6                                      463                  6.8019128125000017E-005                 -4.8940535046503095E+000                  1.7500000000000000E+001                  3.4541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998744612838375E-001                  4.7012311814135982E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998871594559091E-001                  2.6768194751647885E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7083771425310463E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7083771425310463E+001                 -1.7083771425310463E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6249763728689857E+000                  4.1098474320451581E+000                  2.3276241311491059E+000                  1.0258574136912155E+000                  0.0000000000000000E+000                  9.2245295146494044E+000                 -4.7083793986418447E+000                  5.7342092097048436E+000                  6.0448146680374182E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999988E-001                  2.4997339496852566E-001                  2.4464774663588294E-003                  6.6579710144819629E-003                  2.4464774663588294E-003                  6.6579710144819637E-003                  1.2879999999999995E+001                  4.3745344119491980E+000                                        0                                        2 
                                       7                                      463                  8.1420084531250018E-005                 -4.8728642055803713E+000                  1.7500000000000000E+001                  3.4541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998744612838375E-001                  4.7013850220898809E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998871594559091E-001                  2.6769092352937448E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7083771362253554E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7083771362253554E+001                 -1.7083771362253554E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6250138922343274E+000                  4.1099976667997238E+000                  2.3276242097957041E+000                  1.0258572563980191E+000                  0.0000000000000000E+000                  9.2245295303041690E+000                 -4.7083793864793932E+000                  5.7342092133537159E+000                  6.0448146680079451E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999988E-001                  2.4997339496852566E-001                  2.4464774663588294E-003                  6.6579710144819629E-003                  2.4464774663588294E-003                  6.6579710144819637E-003                  1.2879999999999995E+001                  4.3745344119491980E+000                                        0                                        2 
                                       8                                      463                  9.5491088757812512E-005                 -4.8516749065104330E+000                  1.7500000000000000E+001                  3.4541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998744612838375E-001                  4.7015463752344278E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998871594559091E-001                  2.6770035809398351E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7083771294603910E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7083771294603910E+001                 -1.7083771294603910E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6250396327511325E+000                  4.1101007155678682E+000                  2.3276242531461659E+000                  1.0258571696970955E+000                  0.0000000000000000E+000                  9.2245295470218878E+000                 -4.7083793735272037E+000                  5.7342092172729009E+000                  6.0448146679762016E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999988E-001                  2.4997339496852566E-001                  2.4464774663588294E-003                  6.6579710144819629E-003                  2.4464774663588294E-003                  6.6579710144819637E-003                  1.2879999999999995E+001                  4.3745344119491980E+000                                        0                                        2 
                                       9                                      463                  1.1026564319570315E-004                 -4.8304856074404947E+000                  1.7500000000000000E+001                  3.4541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998744612838375E-001                  4.7017156071431990E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998871594559091E-001                  2.6771027565316876E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7083771222519630E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7083771222519630E+001                 -1.7083771222519630E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6250566438677851E+000                  4.1101687939122140E+000                  2.3276242700850345E+000                  1.0258571358193582E+000                  0.0000000000000000E+000                  9.2245295647802514E+000                 -4.7083793597946872E+000                  5.7342092214522484E+000                  6.0448146679422843E-001                  8.6796662376922862E-001                  1.2510550794973145E+000                  7.3599999999999988E-001                  2.4997339496852566E-001                  2.4464774663588294E-003                  6.6579710144819629E-003                  2.4464774663588294E-003                  6.6579710144819637E-003                  1.2879999999999995E+001                  4.3745344119491980E+000                                        0                                        2 
