MJD,flux_mJy,flux_err_mJy,is_limit,instrument,filter
55211.233,0.979,0.010,0,NEOWISE,W1
55398.412,1.034,0.008,0,NEOWISE,W1
55575.174,0.967,0.010,0,NEOWISE,W1
56674.192,0.984,0.011,0,NEOWISE,W1
56860.963,1.095,0.009,0,NEOWISE,W1
57037.092,1.051,0.013,0,NEOWISE,W1
57225.124,1.160,0.011,0,NEOWISE,W1
57400.316,1.100,0.011,0,NEOWISE,W1
57591.789,1.345,0.010,0,NEOWISE,W1
57758.220,1.514,0.011,0,NEOWISE,W1
57956.318,1.435,0.012,0,NEOWISE,W1
58120.287,0.849,0.012,0,NEOWISE,W1
58320.502,0.787,0.012,0,NEOWISE,W1
58480.931,0.568,0.012,0,NEOWISE,W1
58686.176,0.645,0.011,0,NEOWISE,W1
58848.318,0.422,0.012,0,NEOWISE,W1
59051.860,0.442,0.012,0,NEOWISE,W1
59212.180,0.302,0.012,0,NEOWISE,W1
59415.952,0.355,0.012,0,NEOWISE,W1
59576.493,0.221,0.012,0,NEOWISE,W1
55211.233,1.014,0.019,0,NEOWISE,W2
55398.412,1.081,0.014,0,NEOWISE,W2
55575.174,0.922,0.017,0,NEOWISE,W2
56674.192,0.943,0.019,0,NEOWISE,W2
56860.930,0.996,0.016,0,NEOWISE,W2
57037.092,1.132,0.023,0,NEOWISE,W2
57225.124,1.064,0.018,0,NEOWISE,W2
57400.316,1.122,0.020,0,NEOWISE,W2
57591.789,1.252,0.020,0,NEOWISE,W2
57758.220,1.441,0.020,0,NEOWISE,W2
57956.318,1.246,0.022,0,NEOWISE,W2
58120.287,0.730,0.021,0,NEOWISE,W2
58320.502,0.613,0.023,0,NEOWISE,W2
58480.931,0.587,0.021,0,NEOWISE,W2
58686.176,0.520,0.023,0,NEOWISE,W2
58848.318,0.502,0.024,0,NEOWISE,W2
59051.860,0.399,0.023,0,NEOWISE,W2
59212.180,0.435,0.022,0,NEOWISE,W2
59415.887,0.371,0.027,0,NEOWISE,W2
59576.493,0.338,0.021,0,NEOWISE,W2
56895.413,0.109,0.001,0,Gaia,G
56895.590,0.111,0.002,0,Gaia,G
57022.569,0.254,0.001,0,Gaia,G
57022.643,0.251,0.002,0,Gaia,G
57048.881,0.222,0.001,0,Gaia,G
57075.050,0.259,0.001,0,Gaia,G
57075.124,0.253,0.001,0,Gaia,G
57198.047,0.112,0.001,0,Gaia,G
57228.788,0.101,0.001,0,Gaia,G
57228.862,0.106,0.001,0,Gaia,G
57253.286,0.212,0.002,0,Gaia,G
57253.360,0.215,0.002,0,Gaia,G
57351.155,0.091,0.001,0,Gaia,G
57351.229,0.092,0.001,0,Gaia,G
57351.406,0.092,0.001,0,Gaia,G
57351.480,0.093,0.001,0,Gaia,G
57358.233,0.063,0.001,0,Gaia,G
57358.409,0.061,0.001,0,Gaia,G
57398.115,0.059,0.001,0,Gaia,G
57428.597,0.093,0.001,0,Gaia,G
57428.671,0.096,0.001,0,Gaia,G
57450.598,0.047,0.001,0,Gaia,G
57450.672,0.047,0.001,0,Gaia,G
57574.597,0.057,0.001,0,Gaia,G
57574.671,0.059,0.001,0,Gaia,G
57628.656,0.075,0.001,0,Gaia,G
57628.832,0.074,0.001,0,Gaia,G
57724.444,0.045,0.001,0,Gaia,G
57724.518,0.048,0.001,0,Gaia,G
57737.947,0.083,0.001,0,Gaia,G
57738.021,0.084,0.001,0,Gaia,G
57773.662,0.089,0.001,0,Gaia,G
